address,eligible_ousd_value_human,ousd_compensation_human,ogn_compensation_human,eligible_ousd_value,ousd_compensation,ogn_compensation
0x09aac303Cf1447184d7B0bB4C1d57Ba0B799DE09,252.28,252.28,0.00,2.522820419916486e+20,2.522820419916486e+20,0
0x09e281a7846401c1E1c755D55cFF1Dbf3B522AEF,3.00,3.00,0.00,3.003008397483551e+18,3.003008397483551e+18,0
0x0A117677Be4B8D258D9BCB9F86Cb9600e658952B,50.93,50.93,0.00,5.0934412331043365e+19,5.0934412331043365e+19,0
0x0b5A3054E7d7c25c23eE8B7fD7CbA3d2660Bc6A0,828.33,828.33,0.00,8.283342523882452e+20,8.283342523882452e+20,0
0x0B7831E4c2B33eb9390d188B7b1aB53C33cf6ece,24.93,24.93,0.00,2.4930272378561855e+19,2.4930272378561855e+19,0
0x0bB2C6478677aCbAd673e1D55FD26B0C06Ae2e18,1.02,1.02,0.00,1.024768584035693e+18,1.024768584035693e+18,0
0x0bC1Fb738c5EA282af13e1656e2c5AF63FfFFc5C,5.48,5.48,0.00,5.483666054500345e+18,5.483666054500345e+18,0
0x0bE7aed4B4270124B756791fEf29C8Ac7aF1eBA5,41.25,41.25,0.00,4.124900760181874e+19,4.124900760181874e+19,0
0x0BeDeeDD2922CDd7b85F2db5504bbd137116AAbE,303.83,303.83,0.00,3.0382965984174296e+20,3.0382965984174296e+20,0
0x0C0A51D9Ce6eD561264278d8E3F288CDe037b73D,36.22,36.22,0.00,3.621593020160101e+19,3.621593020160101e+19,0
0x0c4B47d7eB199e6ED3BF0af6FE2Ab33dF7FaEEEb,82.35,82.35,0.00,8.234633258665843e+19,8.234633258665843e+19,0
0x0cA80Fea8cdCFcdFcea14BF4A1e42663A2abEcE3,769.04,769.04,0.00,7.690432952415081e+20,7.690432952415081e+20,0
0x0D2a6C6f7B1702898F2c43c04Ea0c77B1f54a9B9,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x0D4Bda88DB1eb8Fd9cacd1673946714AbeD11133,50.32,50.32,0.00,5.03169242151531e+19,5.03169242151531e+19,0
0x0d502e27aaD03eF7d47735CA2d545a4d2Bbf9afA,141.66,141.66,0.00,1.416637336503936e+20,1.416637336503936e+20,0
0x0D9c2C070DBFBEE6d1679FFF641166Ad9C9c86fa,9.27,9.27,0.00,9.273602064426346e+18,9.273602064426346e+18,0
0x0Dd566E1574d6dea90c8EAd7701EF387f4F75896,217.87,217.87,0.00,2.178703253699192e+20,2.178703253699192e+20,0
0x0e3284c5f7687a12015d7FB9B98d8cF3C0859643,"6,002.98","2,250.74","25,149.02",6.002978405825862e+21,2250744601456465412096,25149020136524103460375
0x0E4CA9A79DFacFC42C9212AE13BB41970818c957,10.18,10.18,0.00,1.0178206379389506e+19,1.0178206379389506e+19,0
0x0e6ef7B4606f0BE74b8F2C2bfB547E32207AB3e3,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x0E861F1D1A0D4fdC90FE18CAcae65bB750105dBc,"8,604.08","2,901.02","38,224.24",8.604075779089504e+21,2901018944772376100864,38224241516870833127292
0x0ea26051F7657d59418da186137141CeA90D0652,"1,009.91","1,002.48",49.82,1.0099118516951313e+21,1002477962923782832128,49824991765070351099
0x0eCddcF41754360AB129d7Ca4c8ABf220F9c32BD,175.06,175.06,0.00,1.7506058244770418e+20,1.7506058244770418e+20,0
0x0ef119683dA8456BbFbcE84aB6811681E2E3886C,61.43,61.43,0.00,6.14302888782217e+19,6.14302888782217e+19,0
0x0F585E105D5F1608ba2F76A8EbebAaA2E15D2EB7,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x0fE157C79D60fc4D2CA3ea8bfDd569fDcFedc3eD,"5,015.78","2,003.94","20,186.55",5.015778125571973e+21,2003944531392993165312,20186552239805492600107
0x10351065098B22B5951A9D24d444C20CE7Bb0F2a,2.40,2.40,0.00,2.39571664419308e+18,2.39571664419308e+18,0
0x10395903bfBf4EF877E43f8E6A56591D9Cd1a201,"101,042.87","26,010.72","502,896.47",1.0104287162141701e+23,26010717905354252353536,502896472627766468234638
0x10716aaFfD2097228C78Fb8a7d844Eabc85497F5,578.92,578.92,0.00,5.789201567277879e+20,5.789201567277879e+20,0
0x10B0a72eA6110A4b985E21F62c4e30D09CcEc89c,"1,068.11","1,017.03",342.39,1.0681136028718173e+21,1017028400717954318336,342394116312754390134
0x10E5fDFc4f07b9747A99AA2aA0E154011c84A9c2,133.04,133.04,0.00,1.3303627722093968e+20,1.3303627722093968e+20,0
0x11212B1CA82B524F1055839C6Db4481df642CED0,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x11482bA6590607A6C14F1b08989829ECDb92C196,30.36,30.36,0.00,3.0361357054453215e+19,3.0361357054453215e+19,0
0x11536843bF3C0fE97CF121787D67C996FBd3f26f,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x1199a132C99F0f336C1C4DBbec06f275afD85680,261.18,261.18,0.00,2.611823175246928e+20,2.611823175246928e+20,0
0x11dEeC5102ccbEFE460A0b328f145cE65920a0A2,10.34,10.34,0.00,1.0335634670180205e+19,1.0335634670180205e+19,0
0x11eDedebF63bef0ea2d2D071bdF88F71543ec6fB,10.84,10.84,0.00,1.0836628903845747e+19,1.0836628903845747e+19,0
0x12c2c0c75b387dcE9Ce8a506B8a8B2341078a75C,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x12d90A26a7c793988EB6ad6F074976E70D0fCdC1,337.61,337.61,0.00,3.376121741698986e+20,3.376121741698986e+20,0
0x1357A18D135883E676A2C9Da712bb5A87B9C78e7,"33,091.66","9,022.91","161,318.66",3.3091658914662156e+22,9022914728665538887680,161318660764052390502949
0x138680387b77703924a347076DD55C1D8922F260,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x13c5d201925B15A6c7c47E0c40700bBC26adb45d,"267,432.54","67,608.13","1,339,305.65",2.6743253691075595e+23,67608134227688987033600,1339305648009832178959785
0x13fa6995Adc2Af5718716c4539012cB7535A41eD,121.47,121.47,0.00,1.2147342326774468e+20,1.2147342326774468e+20,0
0x145D8BB322FF71eF8ecefc35F584993DF071bc92,200.46,200.46,0.00,2.0045516701350478e+20,2.0045516701350478e+20,0
0x152A054d837FE41e84836F0E200548B267CcbFa7,"1,360.00","1,090.00","1,809.66",1.3600009816916652e+21,1090000245422916304896,1809656409307968597104
0x15311Fe81b264d962406e993Ea9d28AAc980f38C,1.75,1.75,0.00,1.7511578485498417e+18,1.7511578485498417e+18,0
0x162ffa327907eceC0B8d096578d207A31C58E2f9,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x16604e9C17c42077c7Db4402E287aCC34aa8d228,1.02,1.02,0.00,1.0202648404109623e+18,1.0202648404109623e+18,0
0x1723C4892aCEbbfBe6D41376e9B6C3F98D10453D,"1,000,260.46","250,815.12","5,023,092.13",1.0002604608037548e+24,250815115200938705944576,5023092128705201862156353
0x17bB3005CcD17490E032c8430eFd6b3d5E97b9DF,13.91,13.91,0.00,1.3908366374988182e+19,1.3908366374988182e+19,0
0x17D51c1AdF4de7b637654231E0271bAF34D3FC17,51.46,51.46,0.00,5.145637007775687e+19,5.145637007775687e+19,0
0x183B6267cb9F985A8AA7Fc912672A21d644a4102,114.02,114.02,0.00,1.1401596498829476e+20,1.1401596498829476e+20,0
0x187F4db433475240a524a75cAe57b4a6fc36DCC4,"40,308.45","10,827.11","197,596.10",4.030845094513558e+22,10827112736283893956608,197596100595520655963967
0x18b3eeDadC9A4a6d35905D4A416DfFF239F067d5,"14,978.72","4,494.68","70,268.37",1.4978720301307535e+22,4494680075326883627008,70268366125875676146273
0x18c45b4e3FB7627f34edc15CD910944d681128f9,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x18f8020F3Bca2C20525eBBbadE8F6446B5654D6b,608.48,608.48,0.00,6.084769935020468e+20,6.084769935020468e+20,0
0x198d03Db13A0b2b3e28F59857AEC54Bf4C96DFF8,"2,502.31","1,375.58","7,551.85",2.502313948801381e+21,1375578487200345227264,7551846257379595722466
0x199Bd0AfeA9b67A7Aec89f349a1E219A10634124,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
